country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
Burkina Faso,Africa,1997,10.9,4.53,58.9,55.5,41.1,4.48,9.14,10700000,39,50.8
Burundi,Africa,1997,8.36,5.32,71.2,47.5,28.8,2.41,7.01,6120000,238,43.6
Cambodia,Asia,1997,23.5,7.99,76.3,54.7,23.7,5.57,15.3,11300000,64,59.1
Cameroon,Africa,1997,28.9,4.64,78.9,74.6,21.1,6.1,6.57,14300000,30,55.6
Canada,Americas,1997,1870,8.79,29.9,16.9,70.1,1310,13.9,29700000,3.29,78.5
Cape Verde,NA,1997,54.2,4.54,17.9,17.8,82.1,44.5,8.79,404000,101,70.6
Central African Republic,Africa,1997,10.8,3.77,62.6,59.5,37.4,4.05,9,3390000,5.65,44.7
Chad,Africa,1997,11.5,5.54,64.8,62.4,35.2,4.04,11.1,7500000,5.95,52.5
Chile,Americas,1997,417,7.47,62.7,NA,37.3,156,13,14800000,19.8,75.8
China,Asia,1997,31,4.05,55.8,52.8,44.2,13.7,13.9,1260000000,134,70.8
Colombia,Americas,1997,270,9.57,35.1,NA,64.9,175,24.6,37700000,34.8,73.2
Comoros,Africa,1997,15.8,3.87,33.1,33.1,66.9,10.5,8.85,502000,270,60.2
"Congo, Dem. Rep.",Africa,1997,5.44,4.14,95,67.9,4.95,0.27,2.45,43800000,19.3,51.9
"Congo, Rep.",Africa,1997,23.4,2.91,40.2,40.2,59.8,14,4.62,2870000,8.67,46.6
Costa Rica,Americas,1997,216,6.15,24.6,NA,75.4,163,20.3,3720000,72.1,77
Cote d'Ivoire,Africa,1997,46.6,6.16,76.5,75.4,23.5,11,6.63,15100000,48.6,51.7
Croatia,Europe,1997,302,5.87,15.5,NA,84.5,255,11.8,4530000,81,73.4
Cuba,Americas,1997,127,5.54,9.96,NA,90,114,9.99,11000000,103,75.9
Cyprus,NA,1997,716,5.53,64.8,63.6,35.2,252,5.34,891000,96.4,76.6
Czech Republic,Europe,1997,369,6.4,9.71,9.71,90.3,334,13.6,10300000,134,74
Denmark,Europe,1997,2630,8.15,17.7,16.3,82.3,2160,11.8,5280000,124,76.2
Djibouti,Africa,1997,34,4.5,38.5,37.9,61.5,20.9,7.82,661000,28.5,60.1
Dominica,NA,1997,213,6.13,28.8,NA,71.3,152,10.8,70600,94.3,73.3
Dominican Republic,Americas,1997,133,5.65,73.7,NA,26.3,35,11.8,8080000,169,73.4
Ecuador,Americas,1997,88.5,4.41,46.8,NA,53.3,47.1,10.4,12000000,48,73.8
Egypt,Africa,1997,58.5,4.97,61.3,58.4,38.7,22.7,6.28,64900000,66.5,67.4
El Salvador,Americas,1997,155,8.14,61.4,NA,38.6,59.9,13.9,5750000,276,71.2
Equatorial Guinea,Africa,1997,43.9,4.17,52,49.5,48,21.1,10.4,536000,19.4,51.4
Eritrea,Africa,1997,9.1,4.2,57.8,57.8,42.2,3.84,3.42,2200000,31.3,53
Estonia,NA,1997,223,6.19,10.8,10.6,89.2,199,14.8,1410000,33.3,70.2
Ethiopia,Africa,1997,4.4,3.09,59.1,46.4,40.9,1.8,7.2,60700000,61,50.2
Fiji,NA,1997,92.3,3.5,17.3,11,82.7,76.3,8.7,793000,43.4,66
